ID,table,diagnosis Year,Age Specific Incidence Age0_49,age Specific Incidence  Age 0-54,ageSpecificIncidenceAge 55-59,age SpecificIncidence Age60-64,ageSpecificIncidenceAge65_69,age Spes IncidenceAge70-74,Age_Specific_IncidenceAge75_79,Age80_84,Age85_89,Age 90
105,London,2019,0.73283023,6.6379719,10.726183,12.074663,19.031338,22.51685,23.765413,25.154245,19.541578,32.74205
106,London,2020,0.72382253,7.1488476,9.3047199,17.94733,16.812153,19.481493,17.144663,16.804958,23.138508,17.493391
107,London,2021,0.94284624,7.5041013,8.9279652,17.648703,19.718893,26.382675,32.053932,25.045439,19.380728,25.216278
108,London,2022,0.74760598,4.3933721,9.2005491,13.061216,17.290649,20.173876,24.017561,17.182991,20.214272,30.32543
109,London,2023,0.71579295,6.3264556,4.7919526,14.486076,11.317516,15.606206,16.331942,22.910656,21.337286,7.5813575
110,,,,,,,,,,,,
111,North_ East,All Years,,,,,,,,,,
112,Nort_ East,2016,1.5801952,10.315499,8.9327087,17.155602,12.477618,17.590298,24.333733,20.176981,22.144579,23.181417
113,Nort_ East,2017,1.4613502,6.7430882,14.218761,20.502115,13.034326,17.443668,14.917898,12.737772,12.001344,22.899015
114,Nort_ East,2018,1.2122481,4.1957526,12.926437,23.029745,16.597069,21.46368,26.593199,17.976658,26.021338,13.812155
115,Nort_ East,2019,1.4730719,11.705303,14.365752,20.707609,16.0016,21.511345,34.210007,21.621914,27.630033,13.387478
116,Nort_ East,2020,1.2221463,8.1556311,15.725413,14.499562,13.993377,12.936171,14.140557,12.189672,6.8736396,17.98642
117,Nort_ East,2021,1.0959024,10.37401,13.509792,21.000772,22.982016,30.93997,20.307121,28.746252,13.624907,21.736296
118,Nort_ East,2022,0.76192898,9.4115038,10.927995,18.307499,15.425056,14.758592,17.411896,22.076273,26.570423,16.889038
119,Nort_ East,2023,0.825423,7.1970325,9.8872337,15.533636,17.995899,18.272541,26.988438,17.936972,26.570423,21.1113
120,,,,,,,,,,,,
121,   North West,All Years,,,,,,,,,,
122,   North West,2016,1.0796093,7.6816125,15.008973,15.860188,21.028461,20.471666,19.163103,20.90608,18.925594,17.055243
123,   North West,2017,1.2770663,10.533291,14.971417,14.33947,23.430895,18.446091,17.386805,14.450948,18.636898,20.308348
124,   North West,2018,1.077777,11.311871,11.51304,19.904024,17.530685,17.322969,19.052382,15.682542,22.262419,13.505301
125,   North West,2019,0.85656077,4.9999232,11.830926,12.575602,22.735865,22.359131,20.762363,19.998842,0.97,16.441149
126,   North West,2020,0.76989609,7.7866764,11.405154,14.991052,20.253975,19.124878,18.046741,20.93627,0.97,24.99625
127,   North West,2021,0.921956,9.15874,12.657537,16.111744,24.12443,22.946184,23.291954,21.022867,0.97,26.199873
128,   North West,2022,0.62791467,8.4697018,12.048404,12.158635,19.797956,19.147732,15.270977,26.624207,0.97,19.296328
129,   North West,2023,0.90939367,5.5151548,10.493771,15.849649,18.234961,18.592726,23.238443,18.793558,0.97,24.120409
130,,,,,,,,,,,,
131,South East,All Years,,,,,,,,,,
132,South East,2016,0.92131263,6.2299333,11.486108,12.780316,15.030519,17.830362,4,17.184713,21.937696,21.715763
133,South East,2017,0.97517192,7.2104225,9.2626581,9.9286556,13.038538,16.45472,4,19.480053,18.954992,19.281445
